Cache size,Cache size [kB],Line size [B],Associativity,Miss Ratio,
16384,16,16,1,19.85,Miss Ratio [LS:16B]
32768,32,16,1,16.75,
65536,64,16,1,14.79,
16384,16,32,1,15.29,Miss Ratio [LS:32B]
32768,32,32,1,11.93,
65536,64,32,1,9.44,
16384,16,64,1,14.26,Miss Ratio [LS:64B]
32768,32,64,1,10.63,
65536,64,64,1,7.64,
16384,16,16,2,23.93,
32768,32,16,2,19.90,
65536,64,16,2,16.82,
16384,16,32,2,19.30,
32768,32,32,2,15.41,
65536,64,32,2,11.89,
16384,16,64,2,18.15,
32768,32,64,2,14.25,
65536,64,64,2,10.57,
